"名称","名称かな","所在地","TEL","FAX","備考","URL","利用可能時間","休館日_1","写真","参考URL2","爆心地からの距離","所有者等","構造","郵便番号","TEL(夜間・休日）","私立等・公立の別","開設者種別","科目","対応可能言語","登録区分","開館時間","休館日_2","設置学部","障害種別","類型","設置者","文化財分類","種類","文化財指定日","区名","介護保険事業所番号","申請者-法人名","状態区分","NO","行政区","水利種別","公私区分","施設ID","登録番号","担当区内通番号","経度","緯度","分類"
"清水内科・消化器科","","広島市中区富士見町１２－１７","082-542-5122","","","","","","","","","","","730-0043","","","","","","","","","","","","","","","","","","","","","","","","A048000461","","","132.460789999817","34.386428000039","診療所"
"特別養護老人ホーム輝き診察室","","広島市南区北大河町３９－１","","","","","","","","","","","","734-0042","","","","","","","","","","","","","","","","","","","","","","","","A048000462","","","132.482295000097","34.3714969997109","診療所"
"医療法人社団　たなべ小児科内科","","広島市安佐南区大町東二丁目７－２５－５","082-870-5000","","","","","","","","","","","731-0124","","","","","","","","","","","","","","","","","","","","","","","","A048000463","","","132.469453000107","34.4620309997679","診療所"
"すみいクリニック","","広島市佐伯区五日市駅前三丁目４－２１","082-921-8068","","","","","","","","","","","731-5125","","","","","","","","","","","","","","","","","","","","","","","","A048000464","","","132.366397000206","34.3704539996336","診療所"
"土橋眼科","","広島市中区小網町１番１６号","082-296-5269","","","","","","","","","","","730-0855","","","","","","","","","","","","","","","","","","","","","","","","A048000465","","","132.445817000168","34.3939579999763","診療所"
"森田皮膚科医院","","広島市中区河原町１０－１","082-231-3031","","","","","","","","","","","730-0856","","","","","","","","","","","","","","","","","","","","","","","","A048000466","","","132.445892000104","34.3897159999991","診療所"
"寛田クリニック","","広島市南区稲荷町３番２０号","082-261-7030","","","","","","","","","","","732-0827","","","","","","","","","","","","","","","","","","","","","","","","A048000467","","","132.470407000083","34.3921079997053","診療所"
"福島整形外科クリニック","","広島市佐伯区海老園１丁目１３－９","082-924-1100","","","","","","","","","","","731-5135","","","","","","","","","","","","","","","","","","","","","","","","A048000468","","","132.357050000195","34.3616229998406","診療所"
"悠悠タウン江波　診療所","","広島市中区江波西２丁目１４番８号","082-296-4880","","","","","","","","","","","730-0831","","","","","","","","","","","","","","","","","","","","","","","","A048000469","","","132.428932999883","34.3680679998669","診療所"
"医療法人社団花水木会　鈴張クリニック","","広島市安佐北区安佐町鈴張２０１３－１","082-835-0260","","","","","","","","","","","731-1141","","","","","","","","","","","","","","","","","","","","","","","","A048000470","","","132.456032000108","34.581795999731","診療所"
"うすい皮フ科クリニック","","広島市南区段原南２丁目３番２４号　川本ビル２階","082-264-7755","","","","","","","","","","","732-0814","","","","","","","","","","","","","","","","","","","","","","","","A048000471","","","132.477677999948","34.3858729998444","診療所"
"医療法人　和田耳鼻咽喉科","","広島市南区宇品神田５丁目５－９","082-256-1133","","","","","","","","","","","734-0004","","","","","","","","","","","","","","","","","","","","","","","","A048000472","","","132.464204999854","34.3604599997654","診療所"
"福原リハビリテーション整形外科・内科医院","","広島市佐伯区海老園２丁目９番２２号","082-925-0555","","","","","","","","","","","731-5135","","","","","","","","","","","","","","","","","","","","","","","","A048000473","","","132.362549000198","34.3643449997711","診療所"
"医療法人社団　朋仁会　広島中央健診所","","広島市中区八丁堀１０番１０号","082-221-9281","","","","","","","","","","","730-0013","","","","","","","","","","","","","","","","","","","","","","","","A048000474","","","132.461818000178","34.3951889997896","診療所"
"中電プラント株式会社本店診療所","","広島市南区出汐二丁目３－１８","","","","","","","","","","","","734-0001","","","","","","","","","","","","","","","","","","","","","","","","A048000475","","","132.474567000231","34.3780959996722","診療所"
"医療法人　近藤眼科医院","","広島市安佐北区口田３丁目１番５号","082-843-2248","","","","","","","","","","","739-1734","","","","","","","","","","","","","","","","","","","","","","","","A048000476","","","132.50571800005","34.4662769998294","診療所"
"渡辺医院","","広島市中区中町３－１６","","","","","","","","","","","","730-0037","","","","","","","","","","","","","","","","","","","","","","","","A048000477","","","132.459841999962","34.3900069999614","診療所"
"桑原循環器内科クリニック","","広島市安佐南区祇園二丁目２６番８号","082-875-3223","","","","","","","","","","","731-0138","","","","","","","","","","","","","","","","","","","","","","","","A048000478","","","132.467369999961","34.4417829999029","診療所"
"医療法人社団　幸伸会　おかはた小児科クリニック","","広島市南区段原南１丁目１－２２","082-506-3223","","","","","","","","","","","732-0814","","","","","","","","","","","","","","","","","","","","","","","","A048000479","","","132.476760999954","34.3855949998341","診療所"
"医療法人社団　誠風会　高橋内科呼吸器クリニック","","広島市南区段原三丁目３－２７　段原メディカルビル２Ｆ","082-262-5200","","","","","","","","","","","732-0811","","","","","","","","","","","","","","","","","","","","","","","","A048000480","","","132.477289999968","34.389092999798","診療所"
"医療法人社団　一陽会　一陽会クリニック","","広島市佐伯区旭園１０－３","082-924-0033","","","","","","","","","","","731-5133","","","","","","","","","","","","","","","","","","","","","","","","A048000481","","","132.36728600019","34.3643279997191","診療所"
"医療法人　婦人科・内科小松クリニック","","広島市中区鉄砲町１０－１８　八丁堀栗村ビル７Ｆ","082-227-3777","","","","","","","","","","","730-0017","","","","","","","","","","","","","","","","","","","","","","","","A048000482","","","132.463817000162","34.3941209997633","診療所"
"吉本脳神経外科内科医院","","広島市東区牛田中１丁目６番１２号","082-227-9955","","","","","","","","","","","732-0065","","","","","","","","","","","","","","","","","","","","","","","","A048000483","","","132.472648999826","34.4100369999926","診療所"
"医療法人　網岡内科医院","","広島市西区草津東一丁目７－２０","082-271-4398","","","","","","","","","","","733-0861","","","","","","","","","","","","","","","","","","","","","","","","A048000484","","","132.40654500008","34.3801769997915","診療所"
"にしだ耳鼻咽喉科","","広島市安佐南区高取北一丁目４－２５ジョイパレス高取駅前２階","082-872-8733","","","","","","","","","","","731-0144","","","","","","","","","","","","","","","","","","","","","","","","A048000486","","","132.437483000004","34.4747789997379","診療所"
"医療法人ひまわり会　桐陽台医院","","広島市安佐北区三入東１丁目３０番２１号","082-818-1116","","","","","","","","","","","731-0212","","","","","","","","","","","","","","","","","","","","","","","","A048000487","","","132.541720999981","34.5348579997853","診療所"
"医療法人　長尾クリニック","","広島市佐伯区藤垂園１－１６","082-925-0101","","","","","","","","","","","731-5131","","","","","","","","","","","","","","","","","","","","","","","","A048000488","","","132.372132000146","34.367233999684","診療所"
"五日市やまもと眼科","","広島市佐伯区五日市駅前２丁目１８番３２号","082-924-5665","","","","","","","","","","","731-5125","","","","","","","","","","","","","","","","","","","","","","","","A048000489","","","132.366216000213","34.3695389996385","診療所"
"医療法人財団　愛和会広島クリニック","","広島市中区住吉町５－７","082-546-1010","","","","","","","","","","","730-0813","","","","","","","","","","","","","","","","","","","","","","","","A048000490","","","132.447541000034","34.3849550000149","診療所"
"医療法人社団光仁会　フェニックスクリニック","","広島市西区観音町７－２９－１０６","082-293-8400","","","","","","","","","","","733-0031","","","","","","","","","","","","","","","","","","","","","","","","A048000491","","","132.441125","34.3937599998601","診療所"
"大崎クリニック","","広島市安佐南区安東二丁目１０－２","082-878-2233","","","","","","","","","","","731-0153","","","","","","","","","","","","","","","","","","","","","","","","A048000492","","","132.452959","34.4755289996303","診療所"
"小田耳鼻咽喉科","","広島市中区白島中町１－１７　小田ビル２階","082-222-3733","","","","","","","","","","","730-0002","","","","","","","","","","","","","","","","","","","","","","","","A048000493","","","132.465621999812","34.4102310000474","診療所"
"医療法人　つばさ　廣本クリニック","","広島市安芸区矢野南３－１－２","082-888-5077","","","","","","","","","","","736-0086","","","","","","","","","","","","","","","","","","","","","","","","A048000494","","","132.528674999944","34.3452389998137","診療所"
"社会福祉法人　あと会　あと・クリニック","","広島市安芸区阿戸町４８５－１","082-856-0612","","","","","","","","","","","731-4231","","","","","","","","","","","","","","","","","","","","","","","","A048000495","","","132.624166000058","34.3739879998116","診療所"
"医療法人社団　ばんぶ会　たけもとクリニック","","広島市中区鶴見町１４－６","082-541-0202","","","","","","","","","","","730-0045","","","","","","","","","","","","","","","","","","","","","","","","A048000496","","","132.465345999954","34.3841229999197","診療所"
"洪内科・消化器科医院","","広島市西区都町２３－１４","082-503-1181","","","","","","","","","","","733-0023","","","","","","","","","","","","","","","","","","","","","","","","A048000497","","","132.437541999884","34.3970369997064","診療所"
"くすのき眼科","","広島市安芸区中野東一丁目１１－３１","082-893-0300","","","","","","","","","","","739-0323","","","","","","","","","","","","","","","","","","","","","","","","A048000498","","","132.561842999978","34.3866440000749","診療所"
"医療法人社団松原クリニック　まつばらクリニック","","広島市東区温品７丁目１１番３５号","082-289-3223","","","","","","","","","","","732-0033","","","","","","","","","","","","","","","","","","","","","","","","A048000499","","","132.508673999976","34.414563999785","診療所"
"医療法人　おかもと整形外科クリニック","","広島市東区温品七丁目５－２６","082-280-1123","","","","","","","","","","","732-0033","","","","","","","","","","","","","","","","","","","","","","","","A048000500","","","132.509396000041","34.4161479998441","診療所"
"鈴が台クリニック","","広島市西区井口鈴が台３－５－２","082-278-6151","","","","","","","","","","","733-0843","","","","","","","","","","","","","","","","","","","","","","","","A048000501","","","132.378881000132","34.3754549997387","診療所"
"医療法人社団　しみずクリニック","","広島市安佐北区白木町小越１９３","082-828-3030","","","","","","","","","","","739-1412","","","","","","","","","","","","","","","","","","","","","","","","A048000502","","","132.663821000032","34.5545799997674","診療所"
"かくれんぼ小児科・アレルギー科","","広島市南区東雲本町２丁目６番３２号","082-281-3578","","","","","","","","","","","734-0023","","","","","","","","","","","","","","","","","","","","","","","","A048000503","","","132.486987000109","34.3829479998846","診療所"
"医療法人社団　リード　島本内科循環器科・皮フ科","","広島市安佐南区山本１丁目１５番１２号","082-850-0411","","","","","","","","","","","731-0137","","","","","","","","","","","","","","","","","","","","","","","","A048000505","","","132.450970999972","34.4380309998137","診療所"
"医療法人社団恵正会　二宮内科","","広島市安佐北区可部五丁目１４－１６","082-810-0188","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000506","","","132.510119999762","34.5199259998225","診療所"
"医療法人社団　岡本眼科","","広島市安佐北区可部５－１４－１６　可部中央クリニックビル　３階","082-810-0288","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000507","","","132.510112999754","34.5198869998264","診療所"
"医療法人　社団　雅会　わかさ整形外科","","広島市安芸区船越一丁目５０番１８号","082-820-0222","","","","","","","","","","","736-0081","","","","","","","","","","","","","","","","","","","","","","","","A048000508","","","132.516119000166","34.3760129998481","診療所"
"医療法人　恒和会　東部健診センター","","広島市安芸区船越南三丁目２４－２７","082-823-3333","","","","","","","","","","","736-0082","","","","","","","","","","","","","","","","","","","","","","","","A048000509","","","132.52556300016","34.3700419999821","診療所"
"もみじクリニック","","広島市中区白島北町１７－２","082-502-8100","","","","","","","","","","","730-0001","","","","","","","","","","","","","","","","","","","","","","","","A048000510","","","132.461788999834","34.4085090000399","診療所"
"医療法人社団　岡野皮ふ科クリニック","","広島市安佐北区可部５丁目１４－１６　可部中央クリニックビル２階","082-810-0266","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000511","","","132.510112999754","34.5198869998264","診療所"
"特別養護老人ホーム併設デイサービスセンター三滝苑","","広島市西区三滝本町二丁目１番１－２７","082-237-8811","","","","","","","","","","","733-0802","","","","","","","","","","","","","","","","","","","","","","","","A048000513","","","132.449512000186","34.4198129999718","診療所"
"耳鼻咽喉科　啓愛クリニック","","広島市南区段原１丁目３番１１号　啓愛プラザビル　２階","082-262-8077","","","","","","","","","","","732-0811","","","","","","","","","","","","","","","","","","","","","","","","A048000514","","","132.474733000012","34.3904549997403","診療所"
"西原在宅検診クリニック","","広島市安佐南区西原７－５－４","082-874-5511","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A048000515","","","132.475702999924","34.442588999904","診療所"
"くしだ耳鼻咽喉科","","広島市安芸区中野３－９－６","082-893-3387","","","","","","","","","","","739-0321","","","","","","","","","","","","","","","","","","","","","","","","A048000516","","","132.564837000134","34.3927339998498","診療所"
"中山内科医院","","広島市安芸区中野３－９－６","082-892-3118","","","","","","","","","","","739-0321","","","","","","","","","","","","","","","","","","","","","","","","A048000517","","","132.564873000132","34.3926909998519","診療所"
"医療法人ふるもと眼科","","広島市安佐南区緑井二丁目１２番２６号","082-870-6030","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A048000518","","","132.470341000132","34.4675859997485","診療所"
"医療法人社団　にし小児科","","広島市安佐北区可部５－１４－１６","082-810-0277","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000519","","","132.510112999754","34.5198869998264","診療所"
"ふじた消化器・内科クリニック","","広島市安佐南区中筋４丁目１３－１５　レジデンス西宮１階","082-870-6688","","","","","","","","","","","731-0122","","","","","","","","","","","","","","","","","","","","","","","","A048000520","","","132.47864700002","34.4562819998205","診療所"
"木山産婦人科クリニック","","広島市中区袋町４－３　滝口ビル３階","082-544-3155","","","","","","","","","","","730-0036","","","","","","","","","","","","","","","","","","","","","","","","A048000522","","","132.458124000081","34.3921219999129","診療所"
"村上外科内科","","広島市南区東雲２－１８－１５","082-282-1025","","","","","","","","","","","734-0022","","","","","","","","","","","","","","","","","","","","","","","","A048000523","","","132.490816000166","34.3790679998186","診療所"
"医療法人　秋本外科クリニック","","広島市南区東本浦町５番２２号","082-288-4114","","","","","","","","","","","734-0025","","","","","","","","","","","","","","","","","","","","","","","","A048000524","","","132.4877610002","34.3755959998228","診療所"
"むねの眼科医院","","広島市安佐北区亀崎一丁目２番２６号　第２タウンセンタービル３Ｆ","082-840-0550","","","","","","","","","","","739-1742","","","","","","","","","","","","","","","","","","","","","","","","A048000525","","","132.524086000077","34.4815579997511","診療所"
"町田内科・神経内科クリニック","","広島市佐伯区隅の浜二丁目９－７","082-922-0033","","","","","","","","","","","731-5145","","","","","","","","","","","","","","","","","","","","","","","","A048000526","","","132.345744000066","34.3623839996492","診療所"
"小松内科クリニック","","広島市佐伯区八幡東３－２８－１７　クロスロード４Ｆ","082-928-2828","","","","","","","","","","","731-5115","","","","","","","","","","","","","","","","","","","","","","","","A048000527","","","132.361654999958","34.3840299999133","診療所"
"青山クリニック","","広島市東区曙町一丁目４番３０号","082-261-3777","","","","","","","","","","","732-0045","","","","","","","","","","","","","","","","","","","","","","","","A048000528","","","132.485260999886","34.3972509997703","診療所"
"医療法人　似島診療所","","広島市南区似島町字家下７５２－７４","082-259-2515","","","","","","","","","","","734-0017","","","","","","","","","","","","","","","","","","","","","","","","A048000529","","","132.432351999933","34.3123239999868","診療所"
"医療法人社団　池田整形外科","","広島市南区仁保新町二丁目４－５","082-288-3350","","","","","","","","","","","734-0024","","","","","","","","","","","","","","","","","","","","","","","","A048000530","","","132.49509300013","34.3764849997795","診療所"
"さなだ内科クリニック","","広島市安芸区瀬野二丁目１２－１１","082-820-3001","","","","","","","","","","","739-0311","","","","","","","","","","","","","","","","","","","","","","","","A048000531","","","132.59524100005","34.4226289999173","診療所"
"おか内科循環器科","","広島市東区光町二丁目４－６","082-506-3220","","","","","","","","","","","732-0052","","","","","","","","","","","","","","","","","","","","","","","","A048000532","","","132.479870999802","34.4021209997593","診療所"
"特別養護老人ホーム　やすらぎの里","","広島市佐伯区五月が丘四丁目１５番６号","082-941-2900","","","","","","","","","","","731-5101","","","","","","","","","","","","","","","","","","","","","","","","A048000533","","","132.459595000148","34.3963429998473","診療所"
"バスセンター佐々木内科","","広島市中区基町６番２７号　広島センタービル８Ｆ","082-225-3311","","","","","","","","","","","730-0011","","","","","","","","","","","","","","","","","","","","","","","","A048000534","","","132.457012000153","34.3969539998641","診療所"
"松野クリニック","","広島市東区中山東２丁目２番３３号","082-508-4488","","","","","","","","","","","732-0023","","","","","","","","","","","","","","","","","","","","","","","","A048000535","","","132.502757999969","34.4124529998775","診療所"
"松浦内科医院","","広島市南区翠３丁目１８番６号","082-505-5050","","","","","","","","","","","734-0005","","","","","","","","","","","","","","","","","","","","","","","","A048000536","","","132.471093999818","34.3699339999311","診療所"
"医療法人　ふじい内科循環器科","","広島市安佐南区西原一丁目２５－１３－１","082-850-0860","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A048000538","","","132.462573999956","34.4327199998563","診療所"
"医療法人　優心会　心石形成外科","","広島市中区基町６－２７　アクア広島センター街９階","082-223-1103","","","","","","","","","","","730-0011","","","","","","","","","","","","","","","","","","","","","","","","A048000539","","","132.457012000153","34.3969539998641","診療所"
"平賀内科クリニック","","広島市南区皆実町６－１４－４","082-253-1569","","","","","","","","","","","734-0007","","","","","","","","","","","","","","","","","","","","","","","","A048000540","","","132.464207000086","34.372873999882","診療所"
"かわもと眼科クリニック","","広島市西区三篠北町１９番２７号　イケダビル２階","082-509-3500","","","","","","","","","","","733-0006","","","","","","","","","","","","","","","","","","","","","","","","A048000541","","","132.456067000085","34.417340999962","診療所"
"奥本皮膚科クリニック","","広島市西区三篠北町１９－２７　イケダビル２Ｆ","082-509-3566","","","","","","","","","","","733-0006","","","","","","","","","","","","","","","","","","","","","","","","A048000542","","","132.456067000086","34.4173689999617","診療所"
"やすらぎクリニック","","広島市中区袋町３－１１","082-243-8855","","","","","","","","","","","730-0036","","","","","","","","","","","","","","","","","","","","","","","","A048000543","","","132.457568000112","34.3927049999035","診療所"
"貞岡耳鼻咽喉科クリニック","","広島市中区基町６－２７　広島センタービル８階","082-225-3387","","","","","","","","","","","730-0011","","","","","","","","","","","","","","","","","","","","","","","","A048000544","","","132.457096000176","34.396037999862","診療所"
"医療法人社団　いずみ会　和泉内科消化器医院","","広島市安佐南区伴東五丁目１９－２５－３","082-830-1900","","","","","","","","","","","731-3164","","","","","","","","","","","","","","","","","","","","","","","","A048000545","","","132.41856800004","34.4676959998201","診療所"
"医療法人社団たくみ会　きむらクリニック","","広島市安芸区船越南２－１７－１","082-820-0522","","","","","","","","","","","736-0082","","","","","","","","","","","","","","","","","","","","","","","","A048000546","","","132.522283000222","34.3729169999211","診療所"
"さくま眼科","","広島市南区段原１丁目３－１１啓愛プラザビル４Ｆ","082-567-2255","","","","","","","","","","","732-0811","","","","","","","","","","","","","","","","","","","","","","","","A048000547","","","132.474706000016","34.3905389997376","診療所"
"中西医院","","広島市南区段原四丁目１９－９","082-567-0820","","","","","","","","","","","732-0811","","","","","","","","","","","","","","","","","","","","","","","","A048000548","","","132.480023999938","34.3870409998682","診療所"
"大木クリニック","","広島市安芸区船越３丁目１４番４１号","082-823-2236","","","","","","","","","","","736-0081","","","","","","","","","","","","","","","","","","","","","","","","A048000549","","","132.522036000214","34.3749579998242","診療所"
"医療法人社団　桃李会　平和診療所","","広島市中区加古町６－１","082-248-8828","","","","","","","","","","","730-0812","","","","","","","","","","","","","","","","","","","","","","","","A048000550","","","132.449680000044","34.3876500000174","診療所"
"医療法人社団　おおうち総合健診所　くにき内科","","広島市中区大手町３－６－１２","082-542-5805","","","","","","","","","","","730-0051","","","","","","","","","","","","","","","","","","","","","","","","A048000551","","","132.454151999961","34.3877050000227","診療所"
"医療法人　宇品神田クリニック","","広島市南区宇品神田１－８－２１","082-253-5344","","","","","","","","","","","734-0004","","","","","","","","","","","","","","","","","","","","","","","","A048000552","","","132.464818999923","34.366957999853","診療所"
"菜の華診療所","","広島市安佐南区西原一丁目１８－５","082-850-0023","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A048000553","","","132.464474999952","34.4350209998815","診療所"
"広島医療生活協同組合　沼田診療所","","広島市安佐南区伴東七丁目３８番１０号","082-848-4486","","","","","","","","","","","731-3164","","","","","","","","","","","","","","","","","","","","","","","","A048000554","","","132.415447999918","34.4638869997005","診療所"
"広兼眼科","","広島市佐伯区八幡東三丁目２８－１７クロスロードビル２０２","082-929-4644","","","","","","","","","","","731-5115","","","","","","","","","","","","","","","","","","","","","","","","A048000555","","","132.361647999958","34.3840249999124","診療所"
"医療法人社団　恵宣会　なごみクリニック","","広島市中区竹屋町６番３号　第１間ビル１階２階","082-242-0753","","","","","","","","","","","730-0048","","","","","","","","","","","","","","","","","","","","","","","","A048000556","","","132.462789999974","34.3834839999693","診療所"
"木原耳鼻咽喉科医院","","広島市東区戸坂千足一丁目４－２０","082-220-3387","","","","","","","","","","","732-0009","","","","","","","","","","","","","","","","","","","","","","","","A048000557","","","132.483257000078","34.4378119998962","診療所"
"東雲クリニック","","広島市南区上東雲町３０番　２０号","082-281-8641","","","","","","","","","","","734-0021","","","","","","","","","","","","","","","","","","","","","","","","A048000558","","","132.484733000032","34.3846509999013","診療所"
"澤崎産婦人科","","広島市南区的場町二丁目２－１５","082-261-2168","","","","","","","","","","","732-0824","","","","","","","","","","","","","","","","","","","","","","","","A048000559","","","132.474594000064","34.3921219996922","診療所"
"医療法人社団　ＩＧＬ医療会　クリニック　アルペンローゼ","","広島市安佐南区上安六丁目３１番１号","082-830-3350","","","","","","","","","","","731-0154","","","","","","","","","","","","","","","","","","","","","","","","A048000560","","","132.444703999976","34.4827229997855","診療所"
"倉信整形外科クリニック","","広島市南区宇品御幸５丁目５番３号　大原ビル１Ｆ","082-250-1100","","","","","","","","","","","734-0015","","","","","","","","","","","","","","","","","","","","","","","","A048000561","","","132.461818999974","34.3580139996941","診療所"
"ふたば皮膚科","","広島市南区松原町９－１　福屋広島駅前店１０Ｆ","082-568-3030","","","","","","","","","","","732-0822","","","","","","","","","","","","","","","","","","","","","","","","A048000562","","","132.473566000092","34.3965659996385","診療所"
"八幡内科","","広島市南区松原町９－１　１０Ｆ","082-568-3050","","","","","","","","","","","732-0822","","","","","","","","","","","","","","","","","","","","","","","","A048000563","","","132.473837000095","34.3963969996378","診療所"
"えもり内科クリニック","","広島市西区庚午南二丁目３５－２３","082-507-3811","","","","","","","","","","","733-0823","","","","","","","","","","","","","","","","","","","","","","","","A048000564","","","132.409989000128","34.3801499997687","診療所"
"村尾皮ふ科クリニック","","広島市安芸区中野三丁目９－６","082-892-4112","","","","","","","","","","","739-0321","","","","","","","","","","","","","","","","","","","","","","","","A048000565","","","132.564911000132","34.392688999852","診療所"
"医療法人　日域整形外科クリニック","","広島市佐伯区五日市駅前１丁目５－１８－２０１","082-943-7300","","","","","","","","","","","731-5125","","","","","","","","","","","","","","","","","","","","","","","","A048000566","","","132.367774000189","34.3679199996725","診療所"
"医療法人　崇光会　山村整形外科","","広島市佐伯区八幡東四丁目２１番８号","082-926-0212","","","","","","","","","","","731-5115","","","","","","","","","","","","","","","","","","","","","","","","A048000567","","","132.366829000132","34.3952619998523","診療所"
"はしもと眼科","","広島市安佐北区深川五丁目２３－８","082-843-9918","","","","","","","","","","","739-1751","","","","","","","","","","","","","","","","","","","","","","","","A048000569","","","132.533280000154","34.4813629996384","診療所"
"広島市東保健センター","","広島市東区東蟹屋町９番３４号","082-568-7729","","","","","","","","","","","732-8510","","","","","","","","","","","","","","","","","","","","","","","","A048000570","","","132.482009999986","34.3953719997209","診療所"
"医療法人社団　吉岡整形外科","","広島市南区皆実町四丁目１８－１４","082-250-2200","","","","","","","","","","","734-0007","","","","","","","","","","","","","","","","","","","","","","","","A048000571","","","132.47195700006","34.374984999751","診療所"
"たがしらクリニック","","広島市西区中広町二丁目２２－２１","082-297-6671","","","","","","","","","","","733-0012","","","","","","","","","","","","","","","","","","","","","","","","A048000572","","","132.443722999975","34.4034729996946","診療所"
"広島市西保健センター","","広島市西区福島町二丁目２４番１号","082-294-6235","","","","","","","","","","","733-8535","","","","","","","","","","","","","","","","","","","","","","","","A048000573","","","132.43231999989","34.3922319997806","診療所"
"広島市安佐北保健センター","","広島市安佐北区可部３丁目１９番２２号","082-819-0586","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000574","","","132.512390999841","34.5205809998299","診療所"
"多田耳鼻咽喉科クリニック","","広島市南区東雲本町二丁目１３番３０号","082-890-3833","","","","","","","","","","","734-0023","","","","","","","","","","","","","","","","","","","","","","","","A048000575","","","132.486122000166","34.3808449999032","診療所"
"特別養護老人ホーム　虹の里クリニック","","広島市東区馬木二丁目１３９８番地の１","082-508-5551","","","","","","","","","","","732-0031","","","","","","","","","","","","","","","","","","","","","","","","A048000576","","","132.528254000089","34.4378679996229","診療所"
"広島県警察職員診療所","","広島市中区基町９番４２号","082-228-0110","","","","","","","","","","","730-8507","","","","","","","","","","","","","","","","","","","","","","","","A048000577","","","132.461206000152","34.3961489998157","診療所"
"医療法人社団　聖愛会　ぎおん牛田病院附属　牛田クリニック","","広島市東区牛田本町一丁目５－１４","082-223-3020","","","","","","","","","","","732-0066","","","","","","","","","","","","","","","","","","","","","","","","A048000578","","","132.471473999824","34.4090979999692","診療所"
"医療法人　広翔会　こうの脳神経外科クリニック","","広島市中区西白島町１６番１７号","082-502-0036","","","","","","","","","","","730-0005","","","","","","","","","","","","","","","","","","","","","","","","A048000579","","","132.460038999884","34.4063420000177","診療所"
"やの皮ふ科","","広島市安佐北区可部南四丁目９－４１","082-819-1170","","","","","","","","","","","731-0223","","","","","","","","","","","","","","","","","","","","","","","","A048000580","","","132.511614000163","34.5080270000055","診療所"
"医療法人　みつだ循環器科内科","","広島市安佐北区可部南４丁目９番４１号","082-819-1201","","","","","","","","","","","731-0223","","","","","","","","","","","","","","","","","","","","","","","","A048000581","","","132.511614000163","34.5080270000055","診療所"
"広島県赤十字血液センター　本通出張所","","広島市中区本通６－１１　明治安田生命広島本通ビル１・２Ｆ","","","","","","","","","","","","730-0035","","","","","","","","","","","","","","","","","","","","","","","","A048000582","","","132.457485000156","34.3937049998793","診療所"
"竹本内科・眼科医院","","広島市南区丹那町６－１５","082-251-1518","","","","","","","","","","","734-0034","","","","","","","","","","","","","","","","","","","","","","","","A048000583","","","132.480039999898","34.364152999813","診療所"
"医療法人　はまだ小児クリニック","","広島市西区己斐本町一丁目２５－８","082-507-1500","","","","","","","","","","","733-0812","","","","","","","","","","","","","","","","","","","","","","","","A048000584","","","132.427283999952","34.3969099998484","診療所"
"石内慈光園特別養護老人ホーム診療所","","広島市佐伯区五日市町石内６４０５－１","082-926-0066","","","","","","","","","","","731-5102","","","","","","","","","","","","","","","","","","","","","","","","A048000585","","","132.368006000128","34.4038549999488","診療所"
"医療法人社団　盛友会　林クリニック","","広島市佐伯区湯来町下９８７","0826-23-0005","","","","","","","","","","","738-0603","","","","","","","","","","","","","","","","","","","","","","","","A048000586","","","132.347542000007","34.5517689995742","診療所"
"医療法人社団　田丸整形外科","","広島市中区羽衣町２－１５","082-243-4785","","","","","","","","","","","730-0814","","","","","","","","","","","","","","","","","","","","","","","","A048000587","","","132.44909700001","34.3802889999797","診療所"
"広島市南保健センター","","広島市南区皆実町１丁目４番４６号","082-250-4108","","","","","","","","","","","734-8523","","","","","","","","","","","","","","","","","","","","","","","","A048000588","","","132.47070600018","34.3794559996965","診療所"
"ふじわら医院","","広島市南区段原１丁目３番１１号　啓愛プラザビル　３階","082-567-0022","","","","","","","","","","","732-0811","","","","","","","","","","","","","","","","","","","","","","","","A048000589","","","132.474817000016","34.3905659997378","診療所"
"浜村耳鼻咽喉科","","広島市東区曙１－８－９","082-568-7101","","","","","","","","","","","732-0045","","","","","","","","","","","","","","","","","","","","","","","","A048000590","","","132.488481999906","34.3956219998395","診療所"
"医療法人たちばな会　斉藤内科医院","","広島市安佐南区大塚西４番８－３１号","082-849-5750","","","","","","","","","","","731-3167","","","","","","","","","","","","","","","","","","","","","","","","A048000591","","","132.398793000048","34.4345879998861","診療所"
"医療法人　あいクリニック","","広島市安芸区船越南２丁目１８番１９号","082-822-0080","","","","","","","","","","","736-0082","","","","","","","","","","","","","","","","","","","","","","","","A048000592","","","132.522864000217","34.3726759999355","診療所"
